# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
bpc	current	
bpd	current	
bpe	current	
bpg	current	
bph	current	
bpi	current	
bpj	current	
bpk	current	
bpl	current	
bpm	current	
bpn	current	
bpo	current	
bpp	current	
bpq	current	
bpr	current	
bps	current	
bpt	current	
bpu	current	
bpv	current	
bpw	current	
bpx	current	
bpy	current	
bpz	current	
bqa	current	
bqb	current	
bqc	current	
bqd	current	
bqe	retired	eus
bqf	current	
bqg	current	
bqh	current	
bqi	current	
bqj	current	
bqk	current	
bql	current	
bqm	current	
bqn	current	
bqo	current	
bqp	current	
bqq	current	
bqr	current	
bqs	current	
bqt	current	
bqu	current	
bqv	current	
bqw	current	
bqx	current	
bqy	current	
bqz	current	
bra	current	
brb	current	
brc	current	
brd	current	
bre	current	
brf	current	
brg	current	
brh	current	
bri	current	
brj	current	
brk	current	
brl	current	
brm	current	
brn	current	
bro	current	
brp	current	
brq	current	
brr	current	
brs	current	
brt	current	
bru	current	
brv	current	
brw	current	
brx	current	
bry	current	
brz	current	
bsa	current	
bsb	current	
bsc	current	
bsd	retired	bsb
bse	current	
bsf	current	
bsg	current	
bsh	current	
bsi	current	
bsj	current	
bsk	current	
bsl	current	
bsm	current	
bsn	current	
bso	current	
bsp	current	
bsq	current	
bsr	current	
bss	current	
bst	current	
bsu	current	
bsv	current	
bsw	current	
bsx	current	
bsy	current	
bsz	retired	eus
bta	current	
btb	retired	beb
btc	current	
btd	current	
bte	current	
btf	current	
btg	current	
